delivery_partner_id,name,city,vehicle_type,rating
1,Jay Morales,Ankleshwar,bicycle,4.3
2,Jason Buckley,Porbandar,bicycle,4.0
3,Brittany Mcknight,Vadodara,scooter,4.6
4,Lori Miller,Surendranagar,bike,4.8
5,Susan Finley,Nadiad,bike,4.7
6,Adam Pope,Veraval,bicycle,3.8
7,Sandra Tran,Godhra,scooter,4.7
8,Jamie Campbell,Vadodara,bicycle,3.8
9,Jimmy Russell,Patan,scooter,4.7
10,Mary Henry,Godhra,scooter,3.7
11,Travis Hale,Mehsana,scooter,4.5
12,Stacey Roberts,Rajkot,bike,4.8
13,Deanna Stafford,Bhavnagar,scooter,4.3
14,Todd Adams,Patan,bike,4.0
15,Mark Mathis,Amreli,bicycle,4.1
16,Christopher Roach,Deesa,bike,4.3
17,Lori Schwartz,Dahod,bicycle,4.0
18,Derek Porter,Palanpur,bike,4.2
19,Juan Black,Gandhinagar,bicycle,4.5
20,Laurie Bullock,Botad,scooter,4.2
21,John Christensen,Vadodara,bicycle,4.5
22,Andre Holt,Jamnagar,scooter,4.0
23,Jacob Ellis,Vadodara,bicycle,3.8
24,Ian Munoz,Porbandar,bicycle,4.1
25,Sheri Hickman,Modasa,scooter,4.7
26,Michaela Butler,Rajkot,bicycle,3.8
27,Pamela Doyle,Vapi,bicycle,4.2
28,Victor Miller,Dahod,scooter,3.8
29,Daniel Whitaker,Navsari,scooter,4.4
30,Jeffrey Roberts,Botad,scooter,4.4
31,Daniel Hodges,Palanpur,bicycle,3.9
32,Mary Chambers,Patan,scooter,4.2
33,Rachel Joyce,Vapi,scooter,4.0
34,Donald Cannon,Anand,bike,4.2
35,Marcus Madden,Palanpur,bicycle,4.1
36,Anthony Beard,Surendranagar,bike,3.5
37,Nicholas Santiago,Vyara,bike,3.6
38,Rachel Kirk,Jamnagar,bike,3.9
39,Jonathan Austin,Dahod,scooter,3.9
40,Heather Gutierrez,Patan,bike,3.7
41,Brittney Sanchez,Botad,bike,3.5
42,Andrew Oconnell DDS,Surendranagar,bike,4.0
43,Karen Valentine,Ahmedabad,bicycle,4.4
44,Patricia Baldwin,Kalol,scooter,3.6
45,Theresa Rodriguez,Morbi,bicycle,3.8
46,Brittany Smith,Vyara,bicycle,3.8
47,Angela Larsen,Navsari,bike,4.8
48,Casey Howard,Surat,bicycle,4.4
49,William Nelson,Porbandar,scooter,4.3
50,Matthew Yates,Porbandar,bike,4.4
51,Christina Guzman MD,Porbandar,bicycle,4.7
